title,rating,aired_duration,average_runtime,genre,MPAA_rating,votes
One Punch Man,8.7,2015–2019,24,"Animation, Action, Comedy",TV-PG,"183,297"
Code Geass,8.7,2006–2008,24,"Animation, Action, Drama",TV-14,"78,828"
Romeo and the Black Brothers,8.6,1995,24,"Animation, Adventure, Drama",TV-G,"1,317"
Darker Than Black,7.7,2007–2010,24,"Animation, Action, Drama",TV-MA,"12,410"
Neon Genesis Evangelion,8.5,1995–1996,24,"Animation, Action, Drama",TV-MA,"83,334"
Gurren Lagann,8.3,2007,24,"Animation, Action, Adventure",TV-14,"20,725"
Claymore,8,2007,24,"Animation, Action, Adventure",TV-MA,"15,006"
Fullmetal Alchemist,8.5,2003–2004,24,"Animation, Action, Adventure",TV-PG,"76,791"
Demon Slayer: Kimetsu no Yaiba,8.6,2019– ,24,"Animation, Action, Adventure",TV-MA,"142,763"
Death Parade,7.9,2015,24,"Animation, Drama, Mystery",TV-MA,"19,765"
Spice and Wolf,7.8,2008–2009,24,"Animation, Adventure, Drama",TV-14,"4,925"
Elfen Lied,7.9,2004,24,"Animation, Action, Drama",TV-MA,"36,506"
Revolutionary Girl Utena,8.1,1997,24,"Animation, Comedy, Drama",TV-14,"2,006"
Natsume's Book of Friends,8.1,2008–2017,24,"Animation, Comedy, Drama",None,"2,442"
Kaiba,8.1,2008,24,"Animation, Adventure, Drama",TV-MA,"1,944"
Yu Yu Hakusho: Ghost Files,8.5,1992–1995,24,"Animation, Action, Adventure",TV-PG,"15,792"
When They Cry,7.8,2006,24,"Animation, Drama, Horror",TV-MA,"6,417"
Durarara!!,7.8,2010,24,"Animation, Action, Comedy",TV-14,"7,834"
Future Boy Conan,8.8,1978,24,"Animation, Adventure, Comedy",TV-PG,"4,938"
Gankutsuou: The Count of Monte Cristo,7.9,2004–2005,24,"Animation, Drama, Mystery",TV-14,"2,694"
Welcome to the N.H.K.,8.3,2006,24,"Animation, Comedy, Drama",TV-MA,"7,816"
Nobody's Boy: Remi,7.9,1977–1978,24,"Animation, Adventure, Drama",None,"1,193"
Kimi ni Todoke: From Me to You,7.8,2009–2011,24,"Animation, Comedy, Drama",TV-PG,"5,118"
City Hunter,7.7,1987–1991,24,"Animation, Action, Comedy",TV-14,"1,565"
Ouran High School Host Club,8.2,2006,24,"Animation, Comedy, Romance",TV-14,"11,472"
Les Miserables: Shoujo Cosette,8.2,2007,24,"Animation, Family, History",None,415
"Goodbye, Mr. Despair",7.5,2007,24,"Animation, Comedy, Drama",None,995
Anne of Green Gables,7.7,1979,24,"Animation, Drama, Family",None,"2,053"
Space Pirate Captain Harlock,7.8,1978–1979,24,"Animation, Action, Adventure",None,"1,312"
Treasure Island,8.4,1978–1987,24,"Animation, Action, Adventure",TV-PG,"1,330"
Samurai Champloo,8.6,2004–2005,24,"Animation, Action, Adventure",TV-MA,"54,586"
Trigun,8.2,1998,24,"Animation, Action, Adventure",TV-14,"23,901"
Toradora!,8,2008–2009,24,"Animation, Comedy, Drama",TV-14,"18,478"
JoJo's Bizarre Adventure,8.5,2012– ,24,"Animation, Action, Adventure",TV-14,"33,285"
The Melancholy of Haruhi Suzumiya,7.8,2006–2009,24,"Animation, Comedy, Drama",TV-14,"9,069"
Berserk,8.7,1997–1998,23,"Animation, Action, Adventure",TV-MA,"51,304"
Gyakkyô burai Kaiji,8.3,2007–2011,23,"Animation, Action, Thriller",TV-14,"3,709"
Lupin the Third,7.9,1971–1977,23,"Animation, Action, Adventure",TV-PG,"2,409"
Ranma ½,7.9,1989,23,"Animation, Action, Comedy",TV-14,"5,542"
Michiko to Hatchin,7.5,2008–2009,23,"Animation, Action, Adventure",TV-MA,"1,164"
Urusei yatsura,7.5,1981–1986,23,"Animation, Action, Adventure",TV-PG,"1,238"
Kaleido Star,7.8,2003–2004,23,"Animation, Comedy, Drama",TV-PG,971
